Month,Relative Popularity
Jan. '04,44
Feb. '04,49
Mar. '04,61
Apr. '04,64
May '04,61
Jun. '04,39
Jul. '04,36
Aug. '04,34
Sep. '04,29
Oct. '04,42
Nov. '04,42
Dec. '04,34
Jan. '05,44
Feb. '05,48
Mar. '05,48
Apr. '05,51
May '05,53
Jun. '05,34
Jul. '05,40
Aug. '05,41
Sep. '05,35
Oct. '05,40
Nov. '05,36
Dec. '05,39
Jan. '06,53
Feb. '06,48
Mar. '06,51
Apr. '06,48
May '06,59
Jun. '06,37
Jul. '06,43
Aug. '06,41
Sep. '06,40
Oct. '06,40
Nov. '06,30
Dec. '06,32
Jan. '07,35
Feb. '07,35
Mar. '07,49
Apr. '07,51
May '07,50
Jun. '07,41
Jul. '07,37
Aug. '07,56
Sep. '07,36
Oct. '07,43
Nov. '07,44
Dec. '07,42
Jan. '08,40
Feb. '08,40
Mar. '08,43
Apr. '08,45
May '08,51
Jun. '08,45
Jul. '08,48
Aug. '08,55
Sep. '08,37
Oct. '08,39
Nov. '08,36
Dec. '08,45
Jan. '09,46
Feb. '09,46
Mar. '09,51
Apr. '09,65
May '09,63
Jun. '09,48
Jul. '09,59
Aug. '09,52
Sep. '09,45
Oct. '09,45
Nov. '09,54
Dec. '09,46
Jan. '10,41
Feb. '10,45
Mar. '10,67
Apr. '10,100
May '10,68
Jun. '10,52
Jul. '10,81
Aug. '10,58
Sep. '10,47
Oct. '10,44
Nov. '10,47
Dec. '10,41
Jan. '11,48
Feb. '11,51
Mar. '11,55
Apr. '11,61
May '11,71
Jun. '11,68
Jul. '11,71
Aug. '11,78
Sep. '11,62
Oct. '11,54
Nov. '11,54
Dec. '11,47
