Month,Jellyfish Sightings,Jellyfish Sightings (1000s)
Jan. '04,419,0.419
Feb. '04,400,0.4
Mar. '04,763,0.763
Apr. '04,364,0.364
May '04,742,0.742
Jun. '04,800,0.8
Jul. '04,545,0.545
Aug. '04,38458,38.458
Sep. '04,271,0.271
Oct. '04,488,0.488
Nov. '04,723,0.723
Dec. '04,320,0.32
Jan. '05,305,0.305
Feb. '05,304,0.304
Mar. '05,376,0.376
Apr. '05,537,0.537
May '05,360,0.36
Jun. '05,419,0.419
Jul. '05,309,0.309
Aug. '05,32986,32.986
Sep. '05,372,0.372
Oct. '05,137,0.137
Nov. '05,184,0.184
Dec. '05,262,0.262
Jan. '06,272,0.272
Feb. '06,118,0.118
Mar. '06,86,0.086
Apr. '06,374,0.374
May '06,404,0.404
Jun. '06,561,0.561
Jul. '06,489,0.489
Aug. '06,25411,25.411
Sep. '06,571,0.571
Oct. '06,980,0.98
Nov. '06,1544,1.544
Dec. '06,490,0.49
Jan. '07,423,0.423
Feb. '07,176,0.176
Mar. '07,130,0.13
Apr. '07,269,0.269
May '07,1864,1.864
Jun. '07,676,0.676
Jul. '07,531,0.531
Aug. '07,21970,21.97
Sep. '07,584,0.584
Oct. '07,1531,1.531
Nov. '07,1670,1.67
Dec. '07,2034,2.034
Jan. '08,1599,1.599
Feb. '08,692,0.692
Mar. '08,273,0.273
Apr. '08,633,0.633
May '08,24801,24.801
Jun. '08,3153,3.153
Jul. '08,1356,1.356
Aug. '08,12406,12.406
Sep. '08,2855,2.855
Oct. '08,1601,1.601
Nov. '08,1485,1.485
Dec. '08,228,0.228
Jan. '09,2626,2.626
Feb. '09,31,0.031
Mar. '09,432,0.432
Apr. '09,4,0.004
May '09,336,0.336
Jun. '09,2124,2.124
Jul. '09,247,0.247
Aug. '09,1338,1.338
Sep. '09,4623,4.623
Oct. '09,2325,2.325
Nov. '09,2117,2.117
Dec. '09,1555,1.555
Jan. '10,1926,1.926
Feb. '10,176,0.176
Mar. '10,50,0.05
Apr. '10,602,0.602
May '10,1149,1.149
Jun. '10,265,0.265
Jul. '10,1383,1.383
Aug. '10,2189,2.189
Sep. '10,382,0.382
Oct. '10,166,0.166
Nov. '10,322,0.322
Dec. '10,415,0.415
Jan. '11,27,0.027
Feb. '11,121,0.121
Mar. '11,556,0.556
Apr. '11,1403,1.403
May '11,2552,2.552
Jun. '11,367,0.367
Jul. '11,177,0.177
Aug. '11,0,0
Sep. '11,8,0.008
Oct. '11,0,0
Nov. '11,0,0
Dec. '11,0,0
